,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
655,365dup,15 - 24 years,Female,"50,001 - 75,000 rupees",North Nazimabad Town,,"Celebrating (personal milestones, special occasions, etc)",,
656,366,15 - 24 years,Male,"125,001 - 150,000 rupees",Saddar,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
657,366dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Saddar,,"Relief (from climate, from stresses, etc)",,
658,366dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Saddar,,Tourism,,
659,367,15 - 24 years,Female,Prefer not to answer,Outside Karachi,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
660,367dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,,Most accessible (public beach closest to urban Karachi),,
661,367dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,,"Relief (from climate, from stresses, etc)",,
662,368,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
663,369,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
664,369dup,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
665,369dup,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,,"Celebrating (personal milestones, special occasions, etc)",,
666,370,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
667,370dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
668,370dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
669,371,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
670,372,25 - 44 years,Male,"100,001 - 125,000 rupees",Landhi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
671,372dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Landhi,,"Relief (from climate, from stresses, etc)",,
672,373,15 - 24 years,Female,"25,001 - 50,000 rupees",Garden,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,
673,373dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Garden,,"Relief (from climate, from stresses, etc)",,
674,374,15 - 24 years,Male,Prefer not to answer,Gulberg,Often (multiple times in a year),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
675,375,15 - 24 years,Female,"75,001 - 100,000 rupees",Malir Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
676,375dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Malir Cantonment,,"Relief (from climate, from stresses, etc)",,
677,375dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Malir Cantonment,,Tourism,,
678,376,15 - 24 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
679,376dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,"Relief (from climate, from stresses, etc)",,
680,376dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,Tourism,,
681,377,15 - 24 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
682,377dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),,"Celebrating (personal milestones, special occasions, etc)",,
683,377dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),,"Relief (from climate, from stresses, etc)",,
684,378,15 - 24 years,Female,"100,001 - 125,000 rupees",Model Colony,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
685,379,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
686,379dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
687,379dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
688,380,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
689,381,15 - 24 years,Female,"125,001 - 150,000 rupees",Jamshed Quarters,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
690,381dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Jamshed Quarters,,Most accessible (public beach closest to urban Karachi),,
691,381dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Jamshed Quarters,,"Relief (from climate, from stresses, etc)",,
692,382,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
693,383,25 - 44 years,Male,"75,001 - 100,000 rupees",Nazimabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
694,383dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Nazimabad,,"Relief (from climate, from stresses, etc)",,
695,383dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Nazimabad,,Sunsets,,
696,384,15 - 24 years,Female,"125,001 - 150,000 rupees",Jamshed Quarters,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
697,384dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Jamshed Quarters,,Most accessible (public beach closest to urban Karachi),,
698,384dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Jamshed Quarters,,"Relief (from climate, from stresses, etc)",,
699,385,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
700,385dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
701,385dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
702,386,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
703,387,25 - 44 years,Male,Prefer not to answer,Shah Faisal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
704,387dup,25 - 44 years,Male,Prefer not to answer,Shah Faisal,,"Relief (from climate, from stresses, etc)",,
705,388,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
706,388dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
707,388dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
708,389,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
709,389dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
710,389dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
711,390,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
712,391,25 - 44 years,Female,Prefer not to answer,,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
713,392,15 - 24 years,Female,"50,001 - 75,000 rupees",Ferozabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
714,392dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Ferozabad,,"Activity (exercising, sports, running, etc)",,
715,392dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Ferozabad,,"Relief (from climate, from stresses, etc)",,
716,393,15 - 24 years,Female,Prefer not to answer,,Not often - I prefer other beaches,"Commerce (for work, for shopping, for restaurants, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
717,394,15 - 24 years,Female,Prefer not to answer,Korangi Creek Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
718,394dup,15 - 24 years,Female,Prefer not to answer,Korangi Creek Cantonment,,"Activity (exercising, sports, running, etc)",,
719,394dup,15 - 24 years,Female,Prefer not to answer,Korangi Creek Cantonment,,Most accessible (public beach closest to urban Karachi),,
720,395,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
721,395dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,Tourism,,
722,396,45 years and above,Male,"200,001 and above",North Nazimabad Town,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
723,396dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,,"Activity (exercising, sports, running, etc)",,
724,396dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
725,397,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself but only before sunset,
726,398,45 years and above,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
727,399,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself but only before sunset,
728,400,45 years and above,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
729,400dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
730,401,45 years and above,Male,"200,001 and above",,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
731,402,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
732,402dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
733,402dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
734,403,45 years and above,Male,"200,001 and above",North Nazimabad Town,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
735,403dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,,"Activity (exercising, sports, running, etc)",,
736,403dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
737,404,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
738,404dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,Tourism,,
739,405,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
740,405dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
741,405dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
742,406,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
743,406dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,Tourism,,
744,407,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
745,407dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
746,407dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
747,408,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
748,408dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
749,408dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
750,409,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
751,409dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
752,409dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
753,410,45 years and above,Female,Prefer not to answer,Ferozabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
754,410dup,45 years and above,Female,Prefer not to answer,Ferozabad,,Most accessible (public beach closest to urban Karachi),,
755,410dup,45 years and above,Female,Prefer not to answer,Ferozabad,,"Relief (from climate, from stresses, etc)",,
756,411,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
757,412,25 - 44 years,Male,"200,001 and above",Civil Lines,Not often - I prefer other beaches,Research/observation,I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
758,413,25 - 44 years,Female,Prefer not to answer,Shah Faisal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
759,413dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,Most accessible (public beach closest to urban Karachi),,
760,413dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,"Commerce (for work, for shopping, for restaurants, etc)",,
761,414,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
762,414dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
763,415,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
764,415dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
765,415dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
766,416,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
767,416dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
768,416dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
769,417,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
770,417dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,,Most accessible (public beach closest to urban Karachi),,
771,417dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,,"Relief (from climate, from stresses, etc)",,
772,418,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
773,419,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
774,419dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,,Most accessible (public beach closest to urban Karachi),,
775,419dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,,"Relief (from climate, from stresses, etc)",,
776,420,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
777,420dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
778,420dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
779,421,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
780,421dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
781,421dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
782,422,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
783,422dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
784,423,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,Often (multiple times in a year),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
785,423dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
786,424,25 - 44 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
787,424dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
788,425,15 - 24 years,Prefer not to answer,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
789,425dup,15 - 24 years,Prefer not to answer,"200,001 and above",Gulshan-e-Iqbal,,Tourism,,
790,426,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
791,426dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,"Relief (from climate, from stresses, etc)",,
792,426dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,Special events held in the vicinity,,
793,427,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
794,427dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
795,427dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,Special events held in the vicinity,,
796,428,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
797,428dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
798,429,45 years and above,Male,,Outside Karachi,Not often (few times in many years),Tourism,I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
799,430,25 - 44 years,Male,"25,001 - 50,000 rupees",North Nazimabad Town,Not often - I prefer other beaches,"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
800,431,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
801,431dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,"Relief (from climate, from stresses, etc)",,
802,432,25 - 44 years,Female,"125,001 - 150,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
803,432dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
804,432dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
805,433,15 - 24 years,Female,Prefer not to answer,Bin Qasim,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
806,433dup,15 - 24 years,Female,Prefer not to answer,Bin Qasim,,Most accessible (public beach closest to urban Karachi),,
807,433dup,15 - 24 years,Female,Prefer not to answer,Bin Qasim,,"Relief (from climate, from stresses, etc)",,
808,434,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
809,434dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,"Relief (from climate, from stresses, etc)",,
810,434dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,"Visiting nearby family, going to nearby restaurant ",,
811,435,25 - 44 years,Male,"175,000 - 200,000 rupees",Garden,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
812,435dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Garden,,Most accessible (public beach closest to urban Karachi),,
813,435dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Garden,,"Relief (from climate, from stresses, etc)",,
814,436,15 - 24 years,Female,Prefer not to answer,Ferozabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
815,436dup,15 - 24 years,Female,Prefer not to answer,Ferozabad,,Most accessible (public beach closest to urban Karachi),,
816,437,15 - 24 years,Female,"200,001 and above",Civil Lines,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
817,437dup,15 - 24 years,Female,"200,001 and above",Civil Lines,,Most accessible (public beach closest to urban Karachi),,
818,437dup,15 - 24 years,Female,"200,001 and above",Civil Lines,,"Relief (from climate, from stresses, etc)",,
819,438,15 - 24 years,Female,"125,001 - 150,000 rupees",Shah Faisal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
820,438dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Shah Faisal,,Most accessible (public beach closest to urban Karachi),,
821,438dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Shah Faisal,,"Relief (from climate, from stresses, etc)",,
822,439,15 - 24 years,Male,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
823,439dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
824,439dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
825,440,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
826,441,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
827,441dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
828,442,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
829,442dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
830,442dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
831,443,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
