Timestamp,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,How do you get to Clifton Beach most of the time?,What are your top motivations for going to Clifton Beach? You can select up to 3,Where do you access the beach from most of the time?,Which of the two statements do you agree with more?,Which one of the following statements apply to you?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.,How do you feel regarding the caretaking and evolution of Clifton beach?,What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,"In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?,What is your most favourite place in Karachi?,"If you had unlimited funds, how would you change Clifton Beach?",Do you like going to the beach? Why if you do? Why not if you do not?,Do you feel safe while at the beach?,"If yes, then at what time of the day?","If not, why?",On what days do you prefer going to the beach?,At what time are you most likely to visit the beach?,How long do you spend at the beach?,How do you rate the following facilities? [Seating],How do you rate the following facilities? [Cleanliness],How do you rate the following facilities? [Shading Devices],How do you rate the following facilities? [Public Washrooms],How do you rate the following facilities? [Recreational Amenities],How do you rate the following facilities? [Lighting],How do you rate the following facilities? [Pathways/Walking Infrastructure],How do you rate the following facilities? [First Aid],What kind of company do you prefer when at the beach?,Have you ever made any new friends at the beach?
2021/06/08 8:37:51 am GMT-4,25 - 44 years,Male,"200,001 and above",Bin Qasim,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,Some people may be restricted or charged to visit some places at Clifton beach,I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Positively - There are several welcome developmental changes,A clean and safe beach,Important,"Visit monuments, historic sites;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis",Indifferent,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 8:40:02 am GMT-4,45 years and above,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,"A free aquarium, much better in every way than the one we had before, so that people, specially children would learn about life under water.",Important,"Visit museums, galleries;Visit monuments, historic sites;Participate in a protest",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 8:42:54 am GMT-4,15 - 24 years,Male,"25,001 - 50,000 rupees",Korangi,Often (multiple times in a year),For-hire vehicle,Tourism,Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,"Facilities, cleanliness and safe environment for everyone plus recreational aspect. More entertaining activities. Hygiene is the first condition.",Important,"Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 8:47:25 am GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",NULL,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,To connect with Nature.If people respected the place by keeping it clean and respected the autonomy of women being on their own on the beach and by not following or harassing them. ,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a theatre (play, movies);Visit a fair (books, food, crafts);Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit a natural area (hills, lakes, mangroves, etc);Visit a community centre",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 8:48:35 am GMT-4,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,Walking,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,Cleaner and safer,Important,"Visit a park for a walks or leisure;Attend sporting events as a spectator;Practice some sport of physical activity on a regular basis;Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 8:53:55 am GMT-4,25 - 44 years,Female,"Up to 25,000 rupees",Malir Cantonment,Frequently (multiple times a month),Chartered bus for trip to beach,"Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,If i could sit on a public bus from malir cantt amd it will drop me on clifton beach and i can go back by taking that bus. Any time of day. Fare should not be more than 20rs.,Not Important,"Visit an outdoors bazaar;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 8:55:35 am GMT-4,15 - 24 years,Male,"Up to 25,000 rupees",Gulberg,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Negatively - I feel a sense of frustration and/or loss,Accessibility its near to the main city. ,Indifferent,"Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a community centre",No - I do not trust them,No - I do not wish to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 9:03:10 am GMT-4,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,Cleanliness,Important,"Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/08 9:43:37 pm GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Walking,"Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,Visit a park for a walks or leisure;Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall,No - I do not trust them,Yes - I will not participate again,,,,,,,,,,,,,,,,,,,
2021/06/08 9:50:02 am GMT-4,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often - I prefer other beaches,Private vehicle,"Relief (from climate, from stresses, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Positively - There are several welcome developmental changes,If measures are taken to increase accessibility and extend the beach access till Emaar to all public it will be a very positive development ,Important,"Visit monuments, historic sites;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc);Visit a community centre",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 10:13:48 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"Honestly, safety and cleanliness",Important,"Visit museums, galleries;Visit monuments, historic sites;Visit a park for a walks or leisure;Attend sporting events as a spectator;Visit a theatre (play, movies);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 12:15:34 am GMT-4,15 - 24 years,Female,"200,001 and above",Civil Lines,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Commerce (for work, for shopping, for restaurants, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Positively - There are several welcome developmental changes,"Just two things: we HAVE to clean this beach and make it safer. These have been covered but I want to reiterate. Cleanliness is SO important especially if the beach is to not have limited access. We should not limit the general public from the only beach they can easily enjoy with families. At the same time, people of higher socioeconomic classes have reservations but a large fear is due to safety and harassment. We need to learn to coexist in the same public space. ",Important,"Visit museums, galleries;Visit monuments, historic sites;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a fair (books, food, crafts);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 12:52:07 am GMT-4,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Celebrating (personal milestones, special occasions, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Positively - There are several welcome developmental changes,Cleanliness and safety,Important,"Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 2:05:34 am GMT-4,25 - 44 years,Non-binary,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Positively - There are several welcome developmental changes,Cleanliness,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 2:27:52 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Positively - There are several welcome developmental changes,NULL,Important,"Visit a park for a walks or leisure;Visit a theatre (play, movies);Visit a religious building (mosque, church, temple, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 2:48:20 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,"Cleanliness, a nominal fee for entrance to the actual beach and a significant fine for littering. Beach should be patrolled ",Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 4:38:12 am GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc);Tourism",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,It just needs to be clean and that sludge that’s going from McDonald’s into the ocean needs to be sorted ,Important,Visit a park for a walks or leisure;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a community centre,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 5:01:35 am GMT-4,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often - I prefer other beaches,Private vehicle,"Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Natural areas (like: forests, gardens, etc)",Positively - There are several welcome developmental changes,NULL,Important,Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 6:02:05 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Activity (exercising, sports, running, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Khyaban-e-Saadi,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Negatively - I feel a sense of frustration and/or loss,If the walls put up at the sea wall were removed- if there were less commercial establishments and more nature areas- if there were public washrooms and public free drinking water refill stations ,Important,"Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 6:16:17 am GMT-4,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",McDonald's/A K Khan Park,Some people may be restricted or charged to visit some places at Clifton beach,I feel safe visiting the beach by myself at any time during the day,"Natural areas (like: forests, gardens, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Positively - There are several welcome developmental changes,If it's kept clean and there are walkway pier in to the sea.,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc);Visit a community centre",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 6:49:14 am GMT-4,45 years and above,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Activity (exercising, sports, running, etc);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Positively - There are several welcome developmental changes,NULL,Important,"Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 7:37:41 am GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Commerce (for work, for shopping, for restaurants, etc)",Dolmen Mall,Some people may be restricted or charged to visit some places at Clifton beach,I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,"Safety of all is important and to walk around un harassed by others, particularly men.  The beach must be kept clean, no plastic bags or rubbish on the beach and around. Severe fines need to be implemented for polluting and garbage bins need to be easily accessible and regularly emptied out. Can also implement a recycling initiative to control waste and make it a plastic free zone. ",Not Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit a fair (books, food, crafts);Participate in a protest;Visit an outdoors bazaar",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/09 9:45:01 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Positively - There are several welcome developmental changes,Cleanliness ,Important,"Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc);Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/11 2:00:42 pm GMT-4,15 - 24 years,Female,"200,001 and above",Outside Karachi,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit museums, galleries;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a theatre (play, movies);Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/11 3:20:56 pm GMT-4,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Most accessible (public beach closest to urban Karachi);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Positively - There are several welcome developmental changes,cleanliness and the eradication of bad smells,Indifferent,"Visit monuments, historic sites;Visit a park for a walks or leisure;Participate in a protest;Visit an outdoors bazaar",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/11 7:52:16 am GMT-4,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit an outdoors bazaar",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/11 8:04:06 pm GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,If the beach was clean and the water was clean. ,Important,"Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Participate in a protest",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/15 3:20:51 am GMT-4,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit museums, galleries;Visit monuments, historic sites;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a community centre",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/06/17 4:18:38 pm GMT-4,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,Clean water but we all know that's never gonna happen,Indifferent,"Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc);Participate in a protest;Visit an outdoors bazaar",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
