,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
1033,388dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1034,389,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness and security mostly,Important
1035,389dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1036,389dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1037,390,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Clean water, clean washrooms
",Important
1038,390dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1039,390dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1040,391,25 - 44 years,Female,Prefer not to answer,,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1041,391dup,25 - 44 years,Female,Prefer not to answer,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1042,391dup,25 - 44 years,Female,Prefer not to answer,,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1043,392,15 - 24 years,Female,"50,001 - 75,000 rupees",Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Recreation and reclaimation should not be supported.,Important
1044,392dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Ferozabad, Recreation and reclaimation should not be supported.,,
1045,393,15 - 24 years,Female,Prefer not to answer,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness,Not Important
1046,394,15 - 24 years,Female,Prefer not to answer,Korangi Creek Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",A clean picnic spot without any weird people lurking around.,Important
1047,394dup,15 - 24 years,Female,Prefer not to answer,Korangi Creek Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1048,394dup,15 - 24 years,Female,Prefer not to answer,Korangi Creek Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1049,395,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1050,395dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1051,395dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1052,396,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1053,396dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1054,396dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1055,397,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness,Important
1056,398,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","I am actually not a beach person, but safety measures will may be encourage me to visit more ",Important
1057,398dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1058,398dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1059,399,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness,Important
1060,400,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness ,Important
1061,400dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1062,400dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1063,401,45 years and above,Male,"200,001 and above",,"Amenities (like: washrooms, washing areas, lockers, etc)","General cleanliness, better public facilities ",Important
1064,401dup,45 years and above,Male,"200,001 and above",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1065,401dup,45 years and above,Male,"200,001 and above",,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1066,402,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1067,402dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1068,402dup,Below 15 years,Female,Prefer not to answer,Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1069,403,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1070,403dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1071,403dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1072,404,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1073,404dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1074,404dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1075,405,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",More green spaces with stringent policing and awareness on keeping the beach clean. Something like enforcing fines on thailas for not having trashcans etc or regulating a daily quota for trash to give incentives to thailas. ,Important
1076,405dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1077,405dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1078,406,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1079,406dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1080,406dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1081,407,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness and more safety,Important
1082,407dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1083,407dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1084,408,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Built-up areas (like: housing, offices, amusement parks, etc)",the beach should be clean,Important
1085,408dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1086,408dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1087,409,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1088,409dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1089,409dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1090,410,45 years and above,Female,Prefer not to answer,Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","1) If it's clean - people should respect the space. Maintenance is required regarding cleanliness. 2) They should not block the views of the beach such as the walls, parks, restaurants, etc. They should be across the street. There must be open access for swimming and sitting, etc. 3) DHA should stop reclaiming the sea. A ban is required to prevent further expansion. 4) Sewage should be redirected elsewhere. Currently, this creates unsafe waters to swim in. 5) The beach is part of Karachi, therefore there needs to be input and decision making among various ownerships/input from the community. ",Important
1091,410dup,45 years and above,Female,Prefer not to answer,Ferozabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1092,410dup,45 years and above,Female,Prefer not to answer,Ferozabad,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1093,411,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1094,411dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1095,411dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1096,412,25 - 44 years,Male,"200,001 and above",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1097,412dup,25 - 44 years,Male,"200,001 and above",Civil Lines,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1098,412dup,25 - 44 years,Male,"200,001 and above",Civil Lines,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1099,413,25 - 44 years,Female,Prefer not to answer,Shah Faisal,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleaniness and safety,Important
1100,413dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1101,413dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1102,414,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1103,414dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1104,414dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1105,415,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","If it wasn’t used as a dumping spot for sewage for malls and restaurants like McDonald’s or even dolmen fucking mall it would automatically make the beach a much nicer place to go, not smelly and no bad water/ bad sand
If more people went to the beach that would also be nicer, like how it was during the first lockdown
If it was safer, of course ",Important
1106,415dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1107,415dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1108,416,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",Nice and well maintained seating area and cleanliness on beach (taken care of everyday) and some small eating spaces for munchies. Better washroom and services.,Important
1109,416dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1110,416dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1111,417,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",Safety,Important
1112,417dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,"Natural areas (like: forests, gardens, etc)",,
1113,417dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1114,418,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleaner beach with much larger pedestrian side walk and barrier between the roads and the sidewalk. Trees like palm trees or date trees will be perfect and much better lighting. ,Important
1115,418dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1116,418dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1117,419,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1118,419dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1119,419dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1120,420,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",I believe the biggest issue for me as a girl is that going to sea view always attracts a lot of sexual harassment be in physical or even visual with the uncomfortably stares and cat calling. Even if you wear the most modest clothing. I can’t even imagine going alone. I’d literally be scared for my life and safety.,Important
1121,420dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1122,420dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1123,421,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Affordable eating places - as opposed to big buffet restaurants opening and closing, there can be chai dhabbas. 

Better infrastructure around the boundary walls of the beach and proper maintenance for it. 

A fine for trashing the beach to regulate cleanliness.",Important
1124,421dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1125,421dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1126,422,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1127,422dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1128,422dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1129,423,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness and safety. Overall safety as a female.,Important
1130,423dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1131,423dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1132,424,25 - 44 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleaniness,  cleaniness,  cleaniness 
Maybe work on seating area near the sea",Important
1133,424dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1134,425,15 - 24 years,Prefer not to answer,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1135,425dup,15 - 24 years,Prefer not to answer,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1136,425dup,15 - 24 years,Prefer not to answer,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1137,426,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,"Amenities (like: washrooms, washing areas, lockers, etc)",Proper sitting areas which are womxn friendly,Important
1138,426dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1139,426dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1140,427,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1141,427dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1142,427dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1143,428,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1144,428dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1145,428dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1146,429,45 years and above,Male,,Outside Karachi,"Natural areas (like: forests, gardens, etc)",Restrict for families only to avoid unwanted incidents,Important
1147,429dup,45 years and above,Male,,Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1148,429dup,45 years and above,Male,,Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1149,430,25 - 44 years,Male,"25,001 - 50,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","If it is clean, safe and have recreational parks and gardens",Indifferent
1150,430dup,25 - 44 years,Male,"25,001 - 50,000 rupees",North Nazimabad Town,"Natural areas (like: forests, gardens, etc)",,
1151,430dup,25 - 44 years,Male,"25,001 - 50,000 rupees",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1152,431,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1153,431dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1154,431dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Natural areas (like: forests, gardens, etc)",,
1155,432,25 - 44 years,Female,"125,001 - 150,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Safety,Important
1156,432dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1157,432dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1158,433,15 - 24 years,Female,Prefer not to answer,Bin Qasim,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1159,433dup,15 - 24 years,Female,Prefer not to answer,Bin Qasim,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1160,433dup,15 - 24 years,Female,Prefer not to answer,Bin Qasim,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1161,434,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Cleanliness and amenities, and security ",Important
1162,434dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,"Natural areas (like: forests, gardens, etc)",,
1163,434dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1164,435,25 - 44 years,Male,"175,000 - 200,000 rupees",Garden,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleanliness, washrooms, no charges, no beggars, no police disturbing, no snatching, kids play area.",Important
1165,435dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Garden,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1166,435dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Garden,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1167,436,15 - 24 years,Female,Prefer not to answer,Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1168,436dup,15 - 24 years,Female,Prefer not to answer,Ferozabad,"Natural areas (like: forests, gardens, etc)",,
1169,436dup,15 - 24 years,Female,Prefer not to answer,Ferozabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1170,437,15 - 24 years,Female,"200,001 and above",Civil Lines,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1171,437dup,15 - 24 years,Female,"200,001 and above",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1172,437dup,15 - 24 years,Female,"200,001 and above",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1173,438,15 - 24 years,Female,"125,001 - 150,000 rupees",Shah Faisal,"Amenities (like: washrooms, washing areas, lockers, etc)",To have the beach be more secure for women,Important
1174,438dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Shah Faisal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1175,438dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Shah Faisal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1176,439,15 - 24 years,Male,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",The different projects like flyboarding at affordable rates and different activities like movie nights & Basant festival can make Clifton Beach my favorite beach to go to ,Important
1177,439dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1178,439dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1179,440,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness ,Not Important
1180,440dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1181,440dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1182,441,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",I live on Sea View but do not go there because it is so dirty and lacks any kind of facility ,Important
1183,441dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1184,441dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1185,442,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness and security ,Important
1186,442dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1187,442dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1188,443,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1189,443dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1190,443dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1191,444,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1192,444dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1193,444dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1194,445,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Clean water because  majority of sewerage gets dumped into open sea currently,Important
1195,445dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1196,445dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1197,446,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Commerce (like: restaurants, bazaars, malls, etc)",,Important
1198,446dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1199,446dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1200,447,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Clean sand and water, safety as a woman to be at the beach without facing harassment or judgement on clothing or activities. ",Important
1201,447dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1202,447dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1203,448,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",If it’s safe for women to go to,Important
1204,448dup,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,"Commerce (like: restaurants, bazaars, malls, etc)",,
1205,448dup,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1206,449,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Easily accessible, safe for all, and clean ",Important
1207,449dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1208,449dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1209,450,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,Not Important
1210,450dup,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1211,450dup,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
